,ad_id,start_date,reporting_end,age,gender,impressions,cost
626,1121297,23/08/2017,23/08/2017,35-39,M,187329,53.15999961
627,1121300,23/08/2017,23/08/2017,35-39,M,782894,192.9299995
628,1121302,23/08/2017,23/08/2017,35-39,M,1206533,236.1199988
629,1121303,23/08/2017,23/08/2017,35-39,M,84494,12.57000017
630,1121304,23/08/2017,23/08/2017,35-39,M,94257,12.5800004
631,1121309,23/08/2017,23/08/2017,35-39,M,131060,28.04999959
632,1121310,23/08/2017,23/08/2017,35-39,M,341603,83.48000121
633,1121311,30/08/2017,30/08/2017,35-39,M,140749,30.4799999
634,1121312,30/08/2017,30/08/2017,35-39,M,102525,20.29999983
635,1121316,28/08/2017,28/08/2017,35-39,M,447952,131.5799983
636,1121317,28/08/2017,28/08/2017,35-39,M,76355,14.62999988
637,1121319,28/08/2017,28/08/2017,35-39,M,256598,64.46999931
638,1121321,28/08/2017,28/08/2017,35-39,M,127476,30.15000057
639,1121322,28/08/2017,28/08/2017,35-39,M,237603,62.25000024
640,1121327,28/08/2017,28/08/2017,35-39,M,271091,78.03999984
641,1121330,28/08/2017,28/08/2017,35-39,M,21743,3.400000095
642,1121333,28/08/2017,28/08/2017,35-39,M,88970,14.8300004
643,1121334,28/08/2017,28/08/2017,35-39,M,108362,22.42999983
644,1121335,28/08/2017,28/08/2017,35-39,M,188596,44.14000034
645,1121336,27/08/2017,27/08/2017,35-39,M,275080,69.65999997
646,1121337,27/08/2017,27/08/2017,35-39,M,64647,16.26999998
647,1121338,27/08/2017,27/08/2017,35-39,M,31265,5.789999902
648,1121340,27/08/2017,27/08/2017,35-39,M,140147,42.08000016
649,1121341,27/08/2017,27/08/2017,35-39,M,223120,67.66999984
650,1121342,28/08/2017,28/08/2017,35-39,M,104869,34.07000089
651,1121344,28/08/2017,28/08/2017,35-39,M,165177,41.71999967
652,1121345,27/08/2017,27/08/2017,35-39,M,84194,19.56999981
653,1121347,27/08/2017,27/08/2017,35-39,M,220581,57.37
654,1121350,29/08/2017,29/08/2017,35-39,M,75804,17.36999965
655,1121352,29/08/2017,29/08/2017,35-39,M,368986,100.289999
656,1121353,30/08/2017,30/08/2017,35-39,M,28194,3.709999919
657,1121355,29/08/2017,29/08/2017,35-39,M,99961,23.2099998
658,1121359,29/08/2017,29/08/2017,35-39,M,7573,0
659,1121361,30/08/2017,30/08/2017,35-39,M,685781,177.8899992
660,1121364,30/08/2017,30/08/2017,35-39,M,274222,66.7700001
661,1121365,30/08/2017,30/08/2017,35-39,M,110503,32.67999995
662,1121367,30/08/2017,30/08/2017,35-39,M,1447755,420.5799983
663,1121368,30/08/2017,30/08/2017,35-39,M,358987,87.55000067
664,1121369,30/08/2017,30/08/2017,35-39,M,826205,232.3700008
665,1121370,29/08/2017,29/08/2017,35-39,M,550954,150.1400012
666,1121372,29/08/2017,29/08/2017,35-39,M,378350,96.48000073
667,1121373,29/08/2017,29/08/2017,35-39,M,492784,95.5100013
668,1121374,29/08/2017,29/08/2017,35-39,M,327158,72.3100003
669,1121375,29/08/2017,29/08/2017,35-39,M,9921,0
670,1121377,29/08/2017,29/08/2017,35-39,M,59390,9.209999919
671,1121378,29/08/2017,29/08/2017,35-39,M,1040330,254.2500038
672,1121379,29/08/2017,29/08/2017,35-39,M,49422,11.17000031
673,1121380,29/08/2017,29/08/2017,35-39,M,131091,34.23000026
674,1121381,29/08/2017,29/08/2017,35-39,M,95691,25.26000011
675,1121390,29/08/2017,29/08/2017,35-39,M,15513,1.289999962
676,1121391,20/08/2017,20/08/2017,35-39,M,382537,113.9900012
677,1121394,20/08/2017,20/08/2017,35-39,M,461356,121.0999982
678,1121395,23/08/2017,23/08/2017,35-39,M,392541,98.70000017
679,1121398,23/08/2017,23/08/2017,35-39,M,35088,8.800000072
680,1121400,23/08/2017,23/08/2017,35-39,M,53933,9.929999948
681,1121403,24/08/2017,24/08/2017,35-39,M,228861,53.38999939
682,1121405,24/08/2017,24/08/2017,35-39,M,20959,3.769999981
683,1121410,24/08/2017,24/08/2017,35-39,M,24992,3.190000057
684,1121411,24/08/2017,24/08/2017,35-39,M,100351,24.17999995
685,1121412,24/08/2017,24/08/2017,35-39,M,292448,76.89999968
686,1121413,23/08/2017,23/08/2017,35-39,M,65060,14.5200001
687,1121414,23/08/2017,23/08/2017,35-39,M,133316,36.17000055
688,1121415,23/08/2017,23/08/2017,35-39,M,113501,38.44000077
689,1121418,23/08/2017,23/08/2017,35-39,M,192810,61.92999995
690,1121421,21/08/2017,21/08/2017,35-39,M,233404,70.4100008
691,1121422,23/08/2017,23/08/2017,35-39,M,128843,37.5999999
692,1121423,23/08/2017,23/08/2017,35-39,M,63564,20.59000027
693,1121425,23/08/2017,23/08/2017,35-39,M,85970,24.78000021
694,1121428,23/08/2017,23/08/2017,35-39,M,131232,29.53999937
695,1121429,23/08/2017,23/08/2017,35-39,M,152454,37.84999979
696,1121430,23/08/2017,23/08/2017,35-39,M,28989,2.290000021
697,1121433,24/08/2017,24/08/2017,35-39,M,80248,24.1900003
698,1121437,24/08/2017,24/08/2017,35-39,M,38580,8.519999981
699,1121439,25/08/2017,25/08/2017,40-44,M,621591,163.36
700,1121440,25/08/2017,25/08/2017,40-44,M,250499,58.14000005
701,1121442,25/08/2017,25/08/2017,40-44,M,131637,29.30999982
702,1121443,25/08/2017,25/08/2017,40-44,M,463813,116.3399996
703,1121444,25/08/2017,25/08/2017,40-44,M,211767,60.89999914
704,1121446,25/08/2017,25/08/2017,40-44,M,163181,40.02000093
705,1121451,25/08/2017,25/08/2017,40-44,M,1117385,260.0699984
706,1121452,25/08/2017,25/08/2017,40-44,M,1663441,359.4700001
707,1121453,25/08/2017,25/08/2017,40-44,M,455248,105.7099996
708,1121454,25/08/2017,25/08/2017,40-44,M,75589,10.66000009
709,1121455,24/08/2017,24/08/2017,40-44,M,594267,143.3000009
710,1121456,24/08/2017,24/08/2017,40-44,M,315281,65.02999854
711,1121464,24/08/2017,24/08/2017,40-44,M,363456,117.5599997
712,1121466,24/08/2017,24/08/2017,40-44,M,438983,143.4300001
713,1121467,24/08/2017,24/08/2017,40-44,M,42563,9.659999847
714,1121469,25/08/2017,25/08/2017,40-44,M,399035,124.7999995
715,1121471,24/08/2017,24/08/2017,40-44,M,304680,98.55000019
716,1121472,24/08/2017,24/08/2017,40-44,M,140596,40.77000022
717,1121473,24/08/2017,24/08/2017,40-44,M,439986,134.8799999
718,1121474,21/08/2017,21/08/2017,40-44,M,75803,19.3599999
719,1121477,21/08/2017,21/08/2017,40-44,M,7073,0
720,1121481,19/08/2017,19/08/2017,40-44,M,153586,43.01000035
721,1121482,19/08/2017,19/08/2017,40-44,M,180815,42.62999976
722,1121483,19/08/2017,19/08/2017,40-44,M,253169,75.78999984
723,1121484,19/08/2017,19/08/2017,40-44,M,34453,7.710000038
724,1121487,19/08/2017,19/08/2017,40-44,M,51550,14.03999984
725,1121489,19/08/2017,19/08/2017,40-44,M,110018,39.85999966
726,1121493,19/08/2017,19/08/2017,40-44,M,137584,36.77999961
727,1121497,19/08/2017,19/08/2017,40-44,M,209825,54.86999953
728,1121499,19/08/2017,19/08/2017,40-44,M,264222,87.7899996
729,1121510,19/08/2017,19/08/2017,40-44,M,31202,6.730000019
730,1121511,18/08/2017,18/08/2017,40-44,M,252991,76.83999932
731,1121514,18/08/2017,18/08/2017,40-44,M,56265,15.53999972
732,1121523,18/08/2017,18/08/2017,40-44,M,76923,17.67000008
733,1121524,18/08/2017,18/08/2017,40-44,M,209332,49.60000014
734,1121525,18/08/2017,18/08/2017,40-44,M,214094,53.26999903
735,1121526,19/08/2017,19/08/2017,40-44,M,526209,126.9299996
736,1121527,19/08/2017,19/08/2017,40-44,M,741143,179.620001
737,1121528,19/08/2017,19/08/2017,40-44,M,172827,38.42000043
738,1121530,19/08/2017,19/08/2017,40-44,M,188873,58.5999999
739,1121532,19/08/2017,19/08/2017,40-44,M,123126,39.72999978
740,1121535,20/08/2017,20/08/2017,40-44,M,77794,19.11000001
741,1121541,21/08/2017,21/08/2017,40-44,M,56630,15.81000018
742,1121544,21/08/2017,21/08/2017,40-44,M,400844,140.9700022
743,1121545,20/08/2017,20/08/2017,40-44,M,208572,60.76000023
744,1121548,21/08/2017,21/08/2017,40-44,M,59004,13.51000011
745,1121551,21/08/2017,21/08/2017,40-44,M,196253,55.10000002
746,1121554,21/08/2017,21/08/2017,40-44,M,51858,12.63000011
747,1121557,21/08/2017,21/08/2017,40-44,M,280764,81.36000025
748,1121561,21/08/2017,21/08/2017,40-44,M,63660,16.47000003
749,1121562,20/08/2017,20/08/2017,40-44,M,109289,31.02999997
750,1121568,20/08/2017,20/08/2017,40-44,M,188440,60.72999966
751,1121571,20/08/2017,20/08/2017,40-44,M,212496,74.83000135
752,1121572,20/08/2017,20/08/2017,40-44,M,32574,7.480000019
753,1121575,20/08/2017,20/08/2017,40-44,M,128595,36.4800005
754,1121577,20/08/2017,20/08/2017,40-44,M,242234,68.06000054
755,1121584,20/08/2017,20/08/2017,40-44,M,33154,7.879999995
756,1121585,20/08/2017,20/08/2017,40-44,M,9773,1.460000038
757,1121589,20/08/2017,20/08/2017,45-49,M,464036,123.5500004
758,1121590,20/08/2017,20/08/2017,45-49,M,478480,135.7500012
759,1121592,20/08/2017,20/08/2017,45-49,M,428812,116.8800001
760,1121593,26/08/2017,26/08/2017,45-49,M,1177535,365.6600009
